History Channel Functions Measurement Report

Measurements started at Date: 28-Oct-2023 Time: 19:01:37

Spectrometer ID : 2108340U2
Integration Time: 100,00 ms
Averages        : 10 scans

Description of the Function:

Integral: between  344,00 and  360,00 nm. Multiplied with:  1,0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
19:56:53   3317,850     208092,2071
19:56:58   3323,008     208111,7660
19:57:03   3328,179     208125,5834
19:57:08   3333,352     208112,0187
19:57:13   3338,521     208030,7324
19:57:18   3343,693     208332,4500
19:57:24   3348,870     208140,5127
19:57:29   3354,083     208335,8175
19:57:34   3359,295     208207,8028
19:57:39   3364,465     208085,4151
19:57:44   3369,682     208224,0985
19:57:50   3374,895     208081,5113
19:57:55   3380,108     208179,6030
19:58:00   3385,324     208289,7596
19:58:05   3390,534     208277,0243
19:58:11   3395,708     208290,6195
19:58:16   3400,922     208323,4081
19:58:21   3406,137     208382,3079
19:58:26   3411,310     208442,7504
19:58:31   3416,525     208270,7315
19:58:37   3421,699     208381,1387
19:58:42   3426,917     208280,4991
19:58:47   3432,139     208406,3494
19:58:52   3437,355     208315,6422
19:58:57   3442,570     208332,6785
19:59:03   3447,786     208313,1154
19:59:08   3453,001     208496,3626
19:59:13   3458,178     208577,6820
19:59:18   3463,399     208293,5755
19:59:23   3468,614     208584,1318
19:59:29   3473,790     208363,3019
19:59:34   3478,968     208569,6512
19:59:39   3484,144     208481,1212
19:59:44   3489,319     208595,3361
19:59:49   3494,537     208574,2245
19:59:55   3499,754     208651,0724
20:00:00   3504,933     208535,9451
20:00:05   3510,150     208580,0439
20:00:10   3515,328     208730,0824
20:00:15   3520,549     208827,0568
20:00:21   3525,725     208667,5793
20:00:26   3530,901     208544,2114
20:00:31   3536,072     208495,4894
20:00:36   3541,250     208682,7148
20:00:41   3546,428     208465,4862
20:00:46   3551,605     208842,4913
20:00:52   3556,782     208827,0118
20:00:57   3562,002     208748,6698
20:01:02   3567,225     208696,1154
20:01:07   3572,406     208690,2851
20:01:12   3577,624     208608,3606
20:01:18   3582,805     208617,8897
20:01:23   3588,025     208626,9502
20:01:28   3593,201     208947,4129
20:01:33   3598,381     209019,1808
20:01:38   3603,599     208738,9200
20:01:44   3608,780     208762,1431
20:01:49   3613,999     208868,0377
20:01:54   3619,184     208995,4974
20:01:59   3624,355     208675,0855
20:02:04   3629,576     208901,9037
20:02:10   3634,757     208836,2002
20:02:15   3639,938     208758,1218
20:02:20   3645,160     208828,9426
20:02:25   3650,344     208860,7094
20:02:30   3655,526     208926,6156
20:02:36   3660,707     208727,4254
20:02:41   3665,887     208775,3110
20:02:46   3671,112     208880,7414
20:02:51   3676,336     208805,6719
20:02:56   3681,561     208934,7280
20:03:02   3686,740     208838,6359
20:03:07   3691,965     208855,3647
20:03:12   3697,149     209004,5539
20:03:17   3702,331     209127,5388
20:03:22   3707,513     209017,4589
20:03:28   3712,742     209161,9025
20:03:33   3717,926     209127,0654
20:03:38   3723,152     208925,5717
20:03:43   3728,368     209082,3819
20:03:48   3733,591     209157,4456
20:03:54   3738,817     209065,1007
20:03:59   3743,996     209117,4151
20:04:04   3749,225     209181,8143
20:04:09   3754,411     209213,1754
20:04:14   3759,631     209150,7497
20:04:20   3764,814     209234,8992
20:04:25   3770,042     209294,6114
20:04:30   3775,225     209317,9562
20:04:35   3780,451     209379,7913
20:04:40   3785,681     209498,7196
20:04:46   3790,865     209106,4748
20:04:51   3796,093     209379,7294
20:04:56   3801,322     209441,9507
20:05:01   3806,507     209274,2374
20:05:07   3811,734     209351,9188
20:05:12   3816,962     209415,3124
20:05:17   3822,192     209457,4632
20:05:22   3827,377     209433,2776
