History Channel Functions Measurement Report

Measurements started at Date: 06-May-2023 Time: 14:20:27

Spectrometer ID : 0706001U1
Integration Time: 100.00 ms
Averages        : 8 scans

Description of the Function:

Integral: between  340.00 and  360.00 nm. Multiplied with:  1.0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
07:31:27  61862.103     254405.5304
07:31:37  61872.172     254267.4010
07:31:48  61882.231     254500.3588
07:31:58  61892.604     254640.0579
07:32:08  61902.720     254717.6820
07:32:18  61913.091     254797.7336
07:32:28  61923.168     254593.3955
07:32:39  61933.252     254691.6322
07:32:49  61943.321     254106.6373
07:32:59  61953.410     254708.3006
07:33:09  61963.485     254610.3905
07:33:19  61973.586     254822.4965
07:33:29  61983.623     254407.1424
07:33:39  61993.682     254139.9261
07:33:49  62003.735     254658.5311
07:33:59  62013.791     254470.3056
07:34:09  62023.858     254552.1944
07:34:19  62033.924     255049.4197
07:34:30  62044.312     254592.1528
07:34:40  62054.404     254852.9266
07:34:50  62064.490     254981.2526
07:35:00  62074.575     255237.6201
07:35:10  62084.646     255058.1034
07:35:20  62095.057     254696.7336
07:35:30  62105.134     255104.0010
07:35:41  62115.828     254499.7649
07:35:52  62126.214     255219.7892
07:36:02  62136.277     255036.1352
07:36:12  62146.355     254509.3250
07:36:22  62156.724     255176.8817
07:36:32  62167.118     255055.8143
07:36:42  62177.175     254668.6239
07:36:53  62187.235     254737.3776
07:37:03  62197.281     254720.9904
07:37:13  62207.355     254389.4862
07:37:23  62217.738     255251.5738
07:37:33  62227.816     254420.9581
07:37:43  62237.917     254523.2785
07:37:53  62247.977     254721.9134
07:38:03  62258.088     254899.6626
07:38:13  62268.170     254797.5856
07:38:24  62278.242     254844.0215
07:38:34  62288.628     254687.9544
07:38:44  62299.023     254975.4441
07:38:54  62309.101     254615.0619
07:39:04  62319.174     254768.4889
07:39:15  62329.568     254929.6882
07:39:25  62339.643     255194.5308
07:39:35  62349.719     255013.7088
07:39:45  62360.117     254470.7307
07:39:55  62370.176     254875.5568
07:40:06  62380.250     254849.5871
07:40:16  62390.319     254746.5773
07:40:26  62400.392     254904.6933
07:40:36  62410.796     254865.6577
07:40:46  62420.869     254488.8706
07:40:57  62431.602     254375.3422
07:41:07  62441.712     255259.1698
07:41:17  62451.810     254981.4890
